br,km_trecho,uf,municipio,acidentes,mortos,feridos_graves,pessoas,letalidade,letalidade_ic_baixo,letalidade_ic_alto,tipo_pista,uso_solo
376,176,PR,MARINGA,29,0,4,69,0.0,0.0,0.0527372581890517,Dupla,Sim
116,217,SP,GUARULHOS,29,0,3,70,0.0,0.0,0.0520230624102669,Dupla,Não
324,620,BA,SIMOES FILHO,29,2,2,79,0.02531645569620253,0.006970367306584818,0.08768584628891135,Múltipla,Sim
116,221,SP,GUARULHOS,28,0,2,55,0.0,0.0,0.06528490111708635,Múltipla,Não
277,5,PR,PARANAGUA,28,3,4,70,0.04285714285714286,0.014681541004111405,0.11859668748527549,Dupla,Sim
116,182,RJ,NOVA IGUACU,28,1,2,71,0.014084507042253521,0.00249060327054422,0.07556050520249004,Dupla,Sim
101,297,RJ,ITABORAI,28,1,6,60,0.016666666666666666,0.0029481597947862564,0.08855129727590058,Simples,Sim
101,295,RJ,ITABORAI,28,1,0,71,0.014084507042253521,0.00249060327054422,0.07556050520249004,Dupla,Sim
230,26,PB,JOAO PESSOA,28,2,10,56,0.03571428571428571,0.00984942514823639,0.12118780180490105,Dupla,Sim
101,51,PE,PAULISTA,28,2,8,68,0.029411764705882353,0.008103179543129883,0.1010463136522306,Múltipla,Sim
101,132,SC,BALNEARIO CAMBORIU,28,0,13,64,0.0,0.0,0.05662405979280531,Múltipla,Sim
101,145,SC,ITAPEMA,28,2,9,74,0.02702702702702703,0.007443352638267217,0.093292925169125,Dupla,Sim
116,265,RS,CANOAS,28,1,1,69,0.014492753623188406,0.002562924644588467,0.07763122461144725,Múltipla,Sim
230,12,PB,CABEDELO,28,1,10,63,0.015873015873015872,0.002807494213869284,0.08458525459438393,Dupla,Sim
230,16,PB,JOAO PESSOA,28,0,7,66,0.0,0.0,0.05500255701354127,Dupla,Sim
101,85,PB,BAYEUX,28,1,8,67,0.014925373134328358,0.002639571734078895,0.07981862319778105,Dupla,Sim
381,490,MG,BETIM,28,1,9,68,0.014705882352941176,0.0026006835761068076,0.07870973128160869,Dupla,Sim
381,485,MG,BETIM,28,0,10,69,0.0,0.0,0.0527372581890517,Dupla,Sim
